[time: 194us, number_of_comparisons: 593, is_sorted: true]
[time: 433us, number_of_comparisons: 1333, is_sorted: true]
[time: 670us, number_of_comparisons: 2084, is_sorted: true]
[time: 910us, number_of_comparisons: 2881, is_sorted: true]
[time: 1172us, number_of_comparisons: 3798, is_sorted: true]
[time: 1467us, number_of_comparisons: 4484, is_sorted: true]
[time: 1760us, number_of_comparisons: 5280, is_sorted: true]
[time: 1978us, number_of_comparisons: 6238, is_sorted: true]
[time: 2294us, number_of_comparisons: 7134, is_sorted: true]
[time: 2547us, number_of_comparisons: 8051, is_sorted: true]
[time: 2911us, number_of_comparisons: 8887, is_sorted: true]
[time: 3131us, number_of_comparisons: 9591, is_sorted: true]
[time: 3468us, number_of_comparisons: 10568, is_sorted: true]
[time: 3761us, number_of_comparisons: 11258, is_sorted: true]
[time: 4052us, number_of_comparisons: 12263, is_sorted: true]
[time: 4410us, number_of_comparisons: 13271, is_sorted: true]
[time: 4628us, number_of_comparisons: 14128, is_sorted: true]
[time: 4902us, number_of_comparisons: 15089, is_sorted: true]
[time: 5330us, number_of_comparisons: 16171, is_sorted: true]
[time: 5672us, number_of_comparisons: 17104, is_sorted: true]
[time: 5843us, number_of_comparisons: 18092, is_sorted: true]
[time: 6163us, number_of_comparisons: 18882, is_sorted: true]
[time: 6388us, number_of_comparisons: 19597, is_sorted: true]
[time: 6774us, number_of_comparisons: 20473, is_sorted: true]
[time: 7118us, number_of_comparisons: 21706, is_sorted: true]
[time: 7403us, number_of_comparisons: 22391, is_sorted: true]
[time: 7960us, number_of_comparisons: 23156, is_sorted: true]
[time: 8027us, number_of_comparisons: 23956, is_sorted: true]
[time: 8894us, number_of_comparisons: 25084, is_sorted: true]
[time: 8650us, number_of_comparisons: 26185, is_sorted: true]
