[time: 201us, number_of_comparisons: 681, is_sorted: true]
[time: 434us, number_of_comparisons: 1482, is_sorted: true]
[time: 679us, number_of_comparisons: 2316, is_sorted: true]
[time: 927us, number_of_comparisons: 3151, is_sorted: true]
[time: 1217us, number_of_comparisons: 3863, is_sorted: true]
[time: 1518us, number_of_comparisons: 4889, is_sorted: true]
[time: 1817us, number_of_comparisons: 5887, is_sorted: true]
[time: 2071us, number_of_comparisons: 6752, is_sorted: true]
[time: 2363us, number_of_comparisons: 7581, is_sorted: true]
[time: 2665us, number_of_comparisons: 8222, is_sorted: true]
[time: 3009us, number_of_comparisons: 9327, is_sorted: true]
[time: 3318us, number_of_comparisons: 10457, is_sorted: true]
[time: 3616us, number_of_comparisons: 11413, is_sorted: true]
[time: 3918us, number_of_comparisons: 12486, is_sorted: true]
[time: 4310us, number_of_comparisons: 13424, is_sorted: true]
[time: 4735us, number_of_comparisons: 14322, is_sorted: true]
[time: 4827us, number_of_comparisons: 15179, is_sorted: true]
[time: 5101us, number_of_comparisons: 16005, is_sorted: true]
[time: 5329us, number_of_comparisons: 16717, is_sorted: true]
[time: 5712us, number_of_comparisons: 17364, is_sorted: true]
[time: 6170us, number_of_comparisons: 18398, is_sorted: true]
[time: 6154us, number_of_comparisons: 19694, is_sorted: true]
[time: 6506us, number_of_comparisons: 20942, is_sorted: true]
[time: 7153us, number_of_comparisons: 22119, is_sorted: true]
[time: 7288us, number_of_comparisons: 23252, is_sorted: true]
[time: 7374us, number_of_comparisons: 24080, is_sorted: true]
[time: 7747us, number_of_comparisons: 25340, is_sorted: true]
[time: 8295us, number_of_comparisons: 26355, is_sorted: true]
[time: 8754us, number_of_comparisons: 27409, is_sorted: true]
[time: 8717us, number_of_comparisons: 28229, is_sorted: true]
