[time: 234us, number_of_comparisons: 589, is_sorted: true]
[time: 477us, number_of_comparisons: 1466, is_sorted: true]
[time: 771us, number_of_comparisons: 2504, is_sorted: true]
[time: 1085us, number_of_comparisons: 3639, is_sorted: true]
[time: 1361us, number_of_comparisons: 4848, is_sorted: true]
[time: 1697us, number_of_comparisons: 6115, is_sorted: true]
[time: 2068us, number_of_comparisons: 7408, is_sorted: true]
[time: 2453us, number_of_comparisons: 8781, is_sorted: true]
[time: 2690us, number_of_comparisons: 10158, is_sorted: true]
[time: 2983us, number_of_comparisons: 11598, is_sorted: true]
[time: 3346us, number_of_comparisons: 13040, is_sorted: true]
[time: 3575us, number_of_comparisons: 14527, is_sorted: true]
[time: 3926us, number_of_comparisons: 16040, is_sorted: true]
[time: 4689us, number_of_comparisons: 17556, is_sorted: true]
[time: 4639us, number_of_comparisons: 19130, is_sorted: true]
[time: 4955us, number_of_comparisons: 20717, is_sorted: true]
[time: 5113us, number_of_comparisons: 22347, is_sorted: true]
[time: 5493us, number_of_comparisons: 23903, is_sorted: true]
[time: 5932us, number_of_comparisons: 25605, is_sorted: true]
[time: 6128us, number_of_comparisons: 27180, is_sorted: true]
[time: 6444us, number_of_comparisons: 28822, is_sorted: true]
[time: 6885us, number_of_comparisons: 30558, is_sorted: true]
[time: 7353us, number_of_comparisons: 32252, is_sorted: true]
[time: 7651us, number_of_comparisons: 33918, is_sorted: true]
[time: 8164us, number_of_comparisons: 35641, is_sorted: true]
[time: 8392us, number_of_comparisons: 37382, is_sorted: true]
[time: 8721us, number_of_comparisons: 39138, is_sorted: true]
[time: 8883us, number_of_comparisons: 40832, is_sorted: true]
[time: 9415us, number_of_comparisons: 42722, is_sorted: true]
[time: 9664us, number_of_comparisons: 44420, is_sorted: true]
