[time: 217us, number_of_comparisons: 377, is_sorted: true]
[time: 478us, number_of_comparisons: 776, is_sorted: true]
[time: 749us, number_of_comparisons: 1185, is_sorted: true]
[time: 991us, number_of_comparisons: 1557, is_sorted: true]
[time: 1303us, number_of_comparisons: 1874, is_sorted: true]
[time: 1576us, number_of_comparisons: 2342, is_sorted: true]
[time: 1887us, number_of_comparisons: 2766, is_sorted: true]
[time: 2137us, number_of_comparisons: 3116, is_sorted: true]
[time: 2405us, number_of_comparisons: 3483, is_sorted: true]
[time: 2750us, number_of_comparisons: 3777, is_sorted: true]
[time: 3259us, number_of_comparisons: 4240, is_sorted: true]
[time: 3310us, number_of_comparisons: 4723, is_sorted: true]
[time: 3640us, number_of_comparisons: 5082, is_sorted: true]
[time: 3928us, number_of_comparisons: 5560, is_sorted: true]
[time: 4226us, number_of_comparisons: 5957, is_sorted: true]
[time: 4606us, number_of_comparisons: 6334, is_sorted: true]
[time: 4962us, number_of_comparisons: 6646, is_sorted: true]
[time: 5379us, number_of_comparisons: 7033, is_sorted: true]
[time: 5586us, number_of_comparisons: 7304, is_sorted: true]
[time: 5960us, number_of_comparisons: 7572, is_sorted: true]
[time: 6250us, number_of_comparisons: 7966, is_sorted: true]
[time: 6578us, number_of_comparisons: 8521, is_sorted: true]
[time: 6818us, number_of_comparisons: 9039, is_sorted: true]
[time: 7262us, number_of_comparisons: 9565, is_sorted: true]
[time: 7563us, number_of_comparisons: 10022, is_sorted: true]
[time: 8284us, number_of_comparisons: 10222, is_sorted: true]
[time: 8058us, number_of_comparisons: 10827, is_sorted: true]
[time: 8604us, number_of_comparisons: 11258, is_sorted: true]
[time: 9851us, number_of_comparisons: 11651, is_sorted: true]
[time: 9530us, number_of_comparisons: 11976, is_sorted: true]
