[time: 208us, number_of_comparisons: 337, is_sorted: true]
[time: 454us, number_of_comparisons: 710, is_sorted: true]
[time: 723us, number_of_comparisons: 1083, is_sorted: true]
[time: 978us, number_of_comparisons: 1447, is_sorted: true]
[time: 1261us, number_of_comparisons: 1856, is_sorted: true]
[time: 1546us, number_of_comparisons: 2187, is_sorted: true]
[time: 1808us, number_of_comparisons: 2533, is_sorted: true]
[time: 2093us, number_of_comparisons: 2982, is_sorted: true]
[time: 2364us, number_of_comparisons: 3359, is_sorted: true]
[time: 2643us, number_of_comparisons: 3702, is_sorted: true]
[time: 2965us, number_of_comparisons: 4133, is_sorted: true]
[time: 3265us, number_of_comparisons: 4434, is_sorted: true]
[time: 3567us, number_of_comparisons: 4938, is_sorted: true]
[time: 3892us, number_of_comparisons: 5128, is_sorted: true]
[time: 4163us, number_of_comparisons: 5538, is_sorted: true]
[time: 4551us, number_of_comparisons: 6028, is_sorted: true]
[time: 4800us, number_of_comparisons: 6378, is_sorted: true]
[time: 5090us, number_of_comparisons: 6720, is_sorted: true]
[time: 5298us, number_of_comparisons: 7214, is_sorted: true]
[time: 5628us, number_of_comparisons: 7485, is_sorted: true]
[time: 5959us, number_of_comparisons: 7955, is_sorted: true]
[time: 6257us, number_of_comparisons: 8351, is_sorted: true]
[time: 6580us, number_of_comparisons: 8517, is_sorted: true]
[time: 6966us, number_of_comparisons: 8932, is_sorted: true]
[time: 7215us, number_of_comparisons: 9584, is_sorted: true]
[time: 7513us, number_of_comparisons: 9761, is_sorted: true]
[time: 7924us, number_of_comparisons: 10046, is_sorted: true]
[time: 8148us, number_of_comparisons: 10235, is_sorted: true]
[time: 8523us, number_of_comparisons: 10798, is_sorted: true]
[time: 8780us, number_of_comparisons: 11187, is_sorted: true]
