[time: 215us, number_of_comparisons: 377, is_sorted: true]
[time: 470us, number_of_comparisons: 776, is_sorted: true]
[time: 718us, number_of_comparisons: 1185, is_sorted: true]
[time: 972us, number_of_comparisons: 1557, is_sorted: true]
[time: 1250us, number_of_comparisons: 1874, is_sorted: true]
[time: 1528us, number_of_comparisons: 2342, is_sorted: true]
[time: 1831us, number_of_comparisons: 2766, is_sorted: true]
[time: 2079us, number_of_comparisons: 3116, is_sorted: true]
[time: 2422us, number_of_comparisons: 3483, is_sorted: true]
[time: 2684us, number_of_comparisons: 3777, is_sorted: true]
[time: 2936us, number_of_comparisons: 4240, is_sorted: true]
[time: 3238us, number_of_comparisons: 4723, is_sorted: true]
[time: 3545us, number_of_comparisons: 5082, is_sorted: true]
[time: 3875us, number_of_comparisons: 5560, is_sorted: true]
[time: 4164us, number_of_comparisons: 5957, is_sorted: true]
[time: 4456us, number_of_comparisons: 6334, is_sorted: true]
[time: 5062us, number_of_comparisons: 6646, is_sorted: true]
[time: 5173us, number_of_comparisons: 7033, is_sorted: true]
[time: 5410us, number_of_comparisons: 7304, is_sorted: true]
[time: 5762us, number_of_comparisons: 7572, is_sorted: true]
[time: 6088us, number_of_comparisons: 7966, is_sorted: true]
[time: 6406us, number_of_comparisons: 8521, is_sorted: true]
[time: 6660us, number_of_comparisons: 9039, is_sorted: true]
[time: 7117us, number_of_comparisons: 9565, is_sorted: true]
[time: 7448us, number_of_comparisons: 10022, is_sorted: true]
[time: 7780us, number_of_comparisons: 10222, is_sorted: true]
[time: 8114us, number_of_comparisons: 10827, is_sorted: true]
[time: 8514us, number_of_comparisons: 11258, is_sorted: true]
[time: 8964us, number_of_comparisons: 11651, is_sorted: true]
[time: 9227us, number_of_comparisons: 11976, is_sorted: true]
