[time: 220us, number_of_comparisons: 506, is_sorted: true]
[time: 478us, number_of_comparisons: 1178, is_sorted: true]
[time: 772us, number_of_comparisons: 1910, is_sorted: true]
[time: 1044us, number_of_comparisons: 2706, is_sorted: true]
[time: 1305us, number_of_comparisons: 3511, is_sorted: true]
[time: 1662us, number_of_comparisons: 4380, is_sorted: true]
[time: 1966us, number_of_comparisons: 5207, is_sorted: true]
[time: 2334us, number_of_comparisons: 6116, is_sorted: true]
[time: 2565us, number_of_comparisons: 7001, is_sorted: true]
[time: 2887us, number_of_comparisons: 7943, is_sorted: true]
[time: 3231us, number_of_comparisons: 8847, is_sorted: true]
[time: 3556us, number_of_comparisons: 9789, is_sorted: true]
[time: 3917us, number_of_comparisons: 10786, is_sorted: true]
[time: 4461us, number_of_comparisons: 11707, is_sorted: true]
[time: 4759us, number_of_comparisons: 12639, is_sorted: true]
[time: 4926us, number_of_comparisons: 13632, is_sorted: true]
[time: 5243us, number_of_comparisons: 14642, is_sorted: true]
[time: 5611us, number_of_comparisons: 15584, is_sorted: true]
[time: 5973us, number_of_comparisons: 16681, is_sorted: true]
[time: 6329us, number_of_comparisons: 17593, is_sorted: true]
[time: 6952us, number_of_comparisons: 18570, is_sorted: true]
[time: 6986us, number_of_comparisons: 19621, is_sorted: true]
[time: 7513us, number_of_comparisons: 20603, is_sorted: true]
[time: 7697us, number_of_comparisons: 21594, is_sorted: true]
[time: 8142us, number_of_comparisons: 22568, is_sorted: true]
[time: 8551us, number_of_comparisons: 23720, is_sorted: true]
[time: 8783us, number_of_comparisons: 24725, is_sorted: true]
[time: 9159us, number_of_comparisons: 25749, is_sorted: true]
[time: 9609us, number_of_comparisons: 26818, is_sorted: true]
[time: 10219us, number_of_comparisons: 27771, is_sorted: true]
