[time: 623us, number_of_comparisons: 0, is_sorted: true]
[time: 1030us, number_of_comparisons: 0, is_sorted: true]
[time: 1522us, number_of_comparisons: 0, is_sorted: true]
[time: 1948us, number_of_comparisons: 0, is_sorted: true]
[time: 2380us, number_of_comparisons: 0, is_sorted: true]
[time: 3050us, number_of_comparisons: 0, is_sorted: true]
[time: 3533us, number_of_comparisons: 0, is_sorted: true]
[time: 4003us, number_of_comparisons: 0, is_sorted: true]
[time: 4346us, number_of_comparisons: 0, is_sorted: true]
[time: 4828us, number_of_comparisons: 0, is_sorted: true]
[time: 5182us, number_of_comparisons: 0, is_sorted: true]
[time: 5689us, number_of_comparisons: 0, is_sorted: true]
[time: 5731us, number_of_comparisons: 0, is_sorted: true]
[time: 5772us, number_of_comparisons: 0, is_sorted: true]
[time: 5847us, number_of_comparisons: 0, is_sorted: true]
[time: 5941us, number_of_comparisons: 0, is_sorted: true]
[time: 5945us, number_of_comparisons: 0, is_sorted: true]
[time: 6066us, number_of_comparisons: 0, is_sorted: true]
[time: 5948us, number_of_comparisons: 0, is_sorted: true]
[time: 5981us, number_of_comparisons: 0, is_sorted: true]
[time: 5997us, number_of_comparisons: 0, is_sorted: true]
[time: 6178us, number_of_comparisons: 0, is_sorted: true]
[time: 6262us, number_of_comparisons: 0, is_sorted: true]
[time: 6202us, number_of_comparisons: 0, is_sorted: true]
[time: 6188us, number_of_comparisons: 0, is_sorted: true]
[time: 6401us, number_of_comparisons: 0, is_sorted: true]
[time: 6331us, number_of_comparisons: 0, is_sorted: true]
[time: 6392us, number_of_comparisons: 0, is_sorted: true]
[time: 6521us, number_of_comparisons: 0, is_sorted: true]
[time: 6684us, number_of_comparisons: 0, is_sorted: true]
