[time: 53us, number_of_comparisons: 0, is_sorted: true]
[time: 98us, number_of_comparisons: 0, is_sorted: true]
[time: 143us, number_of_comparisons: 0, is_sorted: true]
[time: 202us, number_of_comparisons: 0, is_sorted: true]
[time: 236us, number_of_comparisons: 0, is_sorted: true]
[time: 281us, number_of_comparisons: 0, is_sorted: true]
[time: 332us, number_of_comparisons: 0, is_sorted: true]
[time: 374us, number_of_comparisons: 0, is_sorted: true]
[time: 426us, number_of_comparisons: 0, is_sorted: true]
[time: 473us, number_of_comparisons: 0, is_sorted: true]
[time: 522us, number_of_comparisons: 0, is_sorted: true]
[time: 567us, number_of_comparisons: 0, is_sorted: true]
[time: 614us, number_of_comparisons: 0, is_sorted: true]
[time: 748us, number_of_comparisons: 0, is_sorted: true]
[time: 738us, number_of_comparisons: 0, is_sorted: true]
[time: 752us, number_of_comparisons: 0, is_sorted: true]
[time: 810us, number_of_comparisons: 0, is_sorted: true]
[time: 925us, number_of_comparisons: 0, is_sorted: true]
[time: 1345us, number_of_comparisons: 0, is_sorted: true]
[time: 1831us, number_of_comparisons: 0, is_sorted: true]
[time: 2277us, number_of_comparisons: 0, is_sorted: true]
[time: 2660us, number_of_comparisons: 0, is_sorted: true]
[time: 3563us, number_of_comparisons: 0, is_sorted: true]
[time: 3638us, number_of_comparisons: 0, is_sorted: true]
[time: 4254us, number_of_comparisons: 0, is_sorted: true]
[time: 5277us, number_of_comparisons: 0, is_sorted: true]
[time: 5218us, number_of_comparisons: 0, is_sorted: true]
[time: 5490us, number_of_comparisons: 0, is_sorted: true]
[time: 6103us, number_of_comparisons: 0, is_sorted: true]
[time: 6689us, number_of_comparisons: 0, is_sorted: true]
