[time: 439us, number_of_comparisons: 0, is_sorted: true]
[time: 689us, number_of_comparisons: 0, is_sorted: true]
[time: 967us, number_of_comparisons: 0, is_sorted: true]
[time: 1159us, number_of_comparisons: 0, is_sorted: true]
[time: 1435us, number_of_comparisons: 0, is_sorted: true]
[time: 1720us, number_of_comparisons: 0, is_sorted: true]
[time: 2092us, number_of_comparisons: 0, is_sorted: true]
[time: 2342us, number_of_comparisons: 0, is_sorted: true]
[time: 2493us, number_of_comparisons: 0, is_sorted: true]
[time: 2713us, number_of_comparisons: 0, is_sorted: true]
[time: 2843us, number_of_comparisons: 0, is_sorted: true]
[time: 3002us, number_of_comparisons: 0, is_sorted: true]
[time: 3338us, number_of_comparisons: 0, is_sorted: true]
[time: 3573us, number_of_comparisons: 0, is_sorted: true]
[time: 3746us, number_of_comparisons: 0, is_sorted: true]
[time: 4200us, number_of_comparisons: 0, is_sorted: true]
[time: 4114us, number_of_comparisons: 0, is_sorted: true]
[time: 4417us, number_of_comparisons: 0, is_sorted: true]
[time: 4550us, number_of_comparisons: 0, is_sorted: true]
[time: 4721us, number_of_comparisons: 0, is_sorted: true]
[time: 5025us, number_of_comparisons: 0, is_sorted: true]
[time: 5097us, number_of_comparisons: 0, is_sorted: true]
[time: 5388us, number_of_comparisons: 0, is_sorted: true]
[time: 5966us, number_of_comparisons: 0, is_sorted: true]
[time: 5748us, number_of_comparisons: 0, is_sorted: true]
[time: 5902us, number_of_comparisons: 0, is_sorted: true]
[time: 6267us, number_of_comparisons: 0, is_sorted: true]
[time: 6321us, number_of_comparisons: 0, is_sorted: true]
[time: 6550us, number_of_comparisons: 0, is_sorted: true]
[time: 6896us, number_of_comparisons: 0, is_sorted: true]
