[time: 109us, number_of_comparisons: 1238, is_sorted: true]
[time: 212us, number_of_comparisons: 2806, is_sorted: true]
[time: 320us, number_of_comparisons: 4544, is_sorted: true]
[time: 417us, number_of_comparisons: 5807, is_sorted: true]
[time: 523us, number_of_comparisons: 7298, is_sorted: true]
[time: 635us, number_of_comparisons: 9021, is_sorted: true]
[time: 740us, number_of_comparisons: 10517, is_sorted: true]
[time: 849us, number_of_comparisons: 11888, is_sorted: true]
[time: 943us, number_of_comparisons: 13458, is_sorted: true]
[time: 1042us, number_of_comparisons: 14868, is_sorted: true]
[time: 1153us, number_of_comparisons: 16535, is_sorted: true]
[time: 1256us, number_of_comparisons: 17904, is_sorted: true]
[time: 1309us, number_of_comparisons: 18212, is_sorted: true]
[time: 1360us, number_of_comparisons: 18212, is_sorted: true]
[time: 1487us, number_of_comparisons: 18212, is_sorted: true]
[time: 1517us, number_of_comparisons: 18212, is_sorted: true]
[time: 1545us, number_of_comparisons: 18212, is_sorted: true]
[time: 1577us, number_of_comparisons: 18212, is_sorted: true]
[time: 1616us, number_of_comparisons: 18212, is_sorted: true]
[time: 1668us, number_of_comparisons: 18212, is_sorted: true]
[time: 1764us, number_of_comparisons: 18212, is_sorted: true]
[time: 1795us, number_of_comparisons: 18212, is_sorted: true]
[time: 1843us, number_of_comparisons: 18212, is_sorted: true]
[time: 1894us, number_of_comparisons: 18212, is_sorted: true]
[time: 1993us, number_of_comparisons: 18212, is_sorted: true]
[time: 1990us, number_of_comparisons: 18212, is_sorted: true]
[time: 2017us, number_of_comparisons: 18212, is_sorted: true]
[time: 2295us, number_of_comparisons: 18212, is_sorted: true]
[time: 2174us, number_of_comparisons: 18212, is_sorted: true]
[time: 2354us, number_of_comparisons: 18212, is_sorted: true]
