[time: 52us, number_of_comparisons: 0, is_sorted: true]
[time: 96us, number_of_comparisons: 0, is_sorted: true]
[time: 213us, number_of_comparisons: 0, is_sorted: true]
[time: 188us, number_of_comparisons: 0, is_sorted: true]
[time: 233us, number_of_comparisons: 0, is_sorted: true]
[time: 280us, number_of_comparisons: 0, is_sorted: true]
[time: 329us, number_of_comparisons: 0, is_sorted: true]
[time: 376us, number_of_comparisons: 0, is_sorted: true]
[time: 423us, number_of_comparisons: 0, is_sorted: true]
[time: 468us, number_of_comparisons: 0, is_sorted: true]
[time: 602us, number_of_comparisons: 0, is_sorted: true]
[time: 603us, number_of_comparisons: 0, is_sorted: true]
[time: 611us, number_of_comparisons: 0, is_sorted: true]
[time: 865us, number_of_comparisons: 0, is_sorted: true]
[time: 699us, number_of_comparisons: 0, is_sorted: true]
[time: 749us, number_of_comparisons: 0, is_sorted: true]
[time: 795us, number_of_comparisons: 0, is_sorted: true]
[time: 907us, number_of_comparisons: 66, is_sorted: true]
[time: 1033us, number_of_comparisons: 1723, is_sorted: true]
[time: 1340us, number_of_comparisons: 3363, is_sorted: true]
[time: 1298us, number_of_comparisons: 5001, is_sorted: true]
[time: 1346us, number_of_comparisons: 6494, is_sorted: true]
[time: 1521us, number_of_comparisons: 8334, is_sorted: true]
[time: 1660us, number_of_comparisons: 9799, is_sorted: true]
[time: 1748us, number_of_comparisons: 11578, is_sorted: true]
[time: 1984us, number_of_comparisons: 13093, is_sorted: true]
[time: 2061us, number_of_comparisons: 14713, is_sorted: true]
[time: 2123us, number_of_comparisons: 16212, is_sorted: true]
[time: 2327us, number_of_comparisons: 18007, is_sorted: true]
[time: 2480us, number_of_comparisons: 19685, is_sorted: true]
