[time: 76us, number_of_comparisons: 26, is_sorted: true]
[time: 145us, number_of_comparisons: 94, is_sorted: true]
[time: 214us, number_of_comparisons: 212, is_sorted: true]
[time: 277us, number_of_comparisons: 343, is_sorted: true]
[time: 342us, number_of_comparisons: 531, is_sorted: true]
[time: 417us, number_of_comparisons: 694, is_sorted: true]
[time: 485us, number_of_comparisons: 851, is_sorted: true]
[time: 560us, number_of_comparisons: 1077, is_sorted: true]
[time: 620us, number_of_comparisons: 1282, is_sorted: true]
[time: 770us, number_of_comparisons: 1562, is_sorted: true]
[time: 776us, number_of_comparisons: 1812, is_sorted: true]
[time: 864us, number_of_comparisons: 1911, is_sorted: true]
[time: 933us, number_of_comparisons: 2172, is_sorted: true]
[time: 1061us, number_of_comparisons: 2342, is_sorted: true]
[time: 1038us, number_of_comparisons: 2587, is_sorted: true]
[time: 1121us, number_of_comparisons: 2898, is_sorted: true]
[time: 1199us, number_of_comparisons: 3188, is_sorted: true]
[time: 1299us, number_of_comparisons: 3463, is_sorted: true]
[time: 1306us, number_of_comparisons: 3679, is_sorted: true]
[time: 1411us, number_of_comparisons: 4087, is_sorted: true]
[time: 1454us, number_of_comparisons: 4307, is_sorted: true]
[time: 1596us, number_of_comparisons: 4543, is_sorted: true]
[time: 1590us, number_of_comparisons: 4854, is_sorted: true]
[time: 1725us, number_of_comparisons: 5309, is_sorted: true]
[time: 1784us, number_of_comparisons: 5551, is_sorted: true]
[time: 2011us, number_of_comparisons: 5879, is_sorted: true]
[time: 1928us, number_of_comparisons: 6173, is_sorted: true]
[time: 1965us, number_of_comparisons: 6353, is_sorted: true]
[time: 2250us, number_of_comparisons: 6654, is_sorted: true]
[time: 2152us, number_of_comparisons: 6911, is_sorted: true]
