[time: 134us, number_of_comparisons: 6691, is_sorted: true]
[time: 490us, number_of_comparisons: 23186, is_sorted: true]
[time: 1064us, number_of_comparisons: 48777, is_sorted: true]
[time: 1864us, number_of_comparisons: 82686, is_sorted: true]
[time: 2922us, number_of_comparisons: 125881, is_sorted: true]
[time: 4127us, number_of_comparisons: 178531, is_sorted: true]
[time: 5601us, number_of_comparisons: 239687, is_sorted: true]
[time: 7281us, number_of_comparisons: 309532, is_sorted: true]
[time: 9373us, number_of_comparisons: 389288, is_sorted: true]
[time: 11411us, number_of_comparisons: 477381, is_sorted: true]
[time: 13769us, number_of_comparisons: 574275, is_sorted: true]
[time: 16588us, number_of_comparisons: 680317, is_sorted: true]
[time: 19444us, number_of_comparisons: 795463, is_sorted: true]
[time: 22290us, number_of_comparisons: 919854, is_sorted: true]
[time: 26543us, number_of_comparisons: 1053317, is_sorted: true]
[time: 29273us, number_of_comparisons: 1195287, is_sorted: true]
[time: 33649us, number_of_comparisons: 1346671, is_sorted: true]
[time: 38573us, number_of_comparisons: 1506910, is_sorted: true]
[time: 42319us, number_of_comparisons: 1675717, is_sorted: true]
[time: 48176us, number_of_comparisons: 1854229, is_sorted: true]
[time: 52166us, number_of_comparisons: 2041337, is_sorted: true]
[time: 56596us, number_of_comparisons: 2238072, is_sorted: true]
[time: 61456us, number_of_comparisons: 2444177, is_sorted: true]
[time: 67203us, number_of_comparisons: 2658858, is_sorted: true]
[time: 73974us, number_of_comparisons: 2881884, is_sorted: true]
[time: 81636us, number_of_comparisons: 3114324, is_sorted: true]
[time: 88031us, number_of_comparisons: 3355363, is_sorted: true]
[time: 92746us, number_of_comparisons: 3605868, is_sorted: true]
[time: 100490us, number_of_comparisons: 3865340, is_sorted: true]
[time: 107194us, number_of_comparisons: 4133648, is_sorted: true]
