[time: 212us, number_of_comparisons: 12420, is_sorted: true]
[time: 657us, number_of_comparisons: 34425, is_sorted: true]
[time: 1349us, number_of_comparisons: 66995, is_sorted: true]
[time: 2270us, number_of_comparisons: 108292, is_sorted: true]
[time: 3473us, number_of_comparisons: 160188, is_sorted: true]
[time: 4998us, number_of_comparisons: 222911, is_sorted: true]
[time: 6681us, number_of_comparisons: 295164, is_sorted: true]
[time: 8608us, number_of_comparisons: 378568, is_sorted: true]
[time: 11287us, number_of_comparisons: 471572, is_sorted: true]
[time: 13324us, number_of_comparisons: 574698, is_sorted: true]
[time: 16030us, number_of_comparisons: 686702, is_sorted: true]
[time: 34462us, number_of_comparisons: 809084, is_sorted: true]
[time: 22225us, number_of_comparisons: 941180, is_sorted: true]
[time: 25631us, number_of_comparisons: 1082666, is_sorted: true]
[time: 36304us, number_of_comparisons: 1233354, is_sorted: true]
[time: 35171us, number_of_comparisons: 1394736, is_sorted: true]
[time: 37881us, number_of_comparisons: 1566462, is_sorted: true]
[time: 42048us, number_of_comparisons: 1747937, is_sorted: true]
[time: 46425us, number_of_comparisons: 1939215, is_sorted: true]
[time: 51865us, number_of_comparisons: 2140890, is_sorted: true]
[time: 57399us, number_of_comparisons: 2352465, is_sorted: true]
[time: 61786us, number_of_comparisons: 2574636, is_sorted: true]
[time: 67419us, number_of_comparisons: 2806589, is_sorted: true]
[time: 74785us, number_of_comparisons: 3048452, is_sorted: true]
[time: 80809us, number_of_comparisons: 3300437, is_sorted: true]
[time: 85598us, number_of_comparisons: 3563040, is_sorted: true]
[time: 92634us, number_of_comparisons: 3835633, is_sorted: true]
[time: 100234us, number_of_comparisons: 4118264, is_sorted: true]
[time: 107473us, number_of_comparisons: 4411457, is_sorted: true]
[time: 115814us, number_of_comparisons: 4714009, is_sorted: true]
