[time: 89us, number_of_comparisons: 5869, is_sorted: true]
[time: 192us, number_of_comparisons: 12458, is_sorted: true]
[time: 304us, number_of_comparisons: 18910, is_sorted: true]
[time: 423us, number_of_comparisons: 26019, is_sorted: true]
[time: 535us, number_of_comparisons: 32895, is_sorted: true]
[time: 651us, number_of_comparisons: 39845, is_sorted: true]
[time: 772us, number_of_comparisons: 47435, is_sorted: true]
[time: 911us, number_of_comparisons: 53883, is_sorted: true]
[time: 1045us, number_of_comparisons: 61198, is_sorted: true]
[time: 1232us, number_of_comparisons: 68924, is_sorted: true]
[time: 2023us, number_of_comparisons: 77422, is_sorted: true]
[time: 1444us, number_of_comparisons: 88403, is_sorted: true]
[time: 1533us, number_of_comparisons: 92606, is_sorted: true]
[time: 1904us, number_of_comparisons: 101683, is_sorted: true]
[time: 1786us, number_of_comparisons: 106519, is_sorted: true]
[time: 1969us, number_of_comparisons: 113204, is_sorted: true]
[time: 2067us, number_of_comparisons: 121654, is_sorted: true]
[time: 2463us, number_of_comparisons: 132011, is_sorted: true]
[time: 2310us, number_of_comparisons: 137285, is_sorted: true]
[time: 2468us, number_of_comparisons: 147450, is_sorted: true]
[time: 2576us, number_of_comparisons: 151924, is_sorted: true]
[time: 2735us, number_of_comparisons: 161746, is_sorted: true]
[time: 2873us, number_of_comparisons: 170849, is_sorted: true]
[time: 3088us, number_of_comparisons: 170021, is_sorted: true]
[time: 3160us, number_of_comparisons: 186134, is_sorted: true]
[time: 3419us, number_of_comparisons: 196711, is_sorted: true]
[time: 3611us, number_of_comparisons: 206227, is_sorted: true]
[time: 3544us, number_of_comparisons: 208382, is_sorted: true]
[time: 3784us, number_of_comparisons: 223565, is_sorted: true]
[time: 3921us, number_of_comparisons: 231126, is_sorted: true]
