[time: 32us, number_of_comparisons: 1436, is_sorted: true]
[time: 72us, number_of_comparisons: 3384, is_sorted: true]
[time: 125us, number_of_comparisons: 5983, is_sorted: true]
[time: 169us, number_of_comparisons: 8050, is_sorted: true]
[time: 229us, number_of_comparisons: 10990, is_sorted: true]
[time: 289us, number_of_comparisons: 13949, is_sorted: true]
[time: 363us, number_of_comparisons: 17529, is_sorted: true]
[time: 427us, number_of_comparisons: 20512, is_sorted: true]
[time: 495us, number_of_comparisons: 23873, is_sorted: true]
[time: 585us, number_of_comparisons: 28219, is_sorted: true]
[time: 662us, number_of_comparisons: 32061, is_sorted: true]
[time: 770us, number_of_comparisons: 36942, is_sorted: true]
[time: 882us, number_of_comparisons: 42305, is_sorted: true]
[time: 967us, number_of_comparisons: 46466, is_sorted: true]
[time: 1095us, number_of_comparisons: 52599, is_sorted: true]
[time: 1199us, number_of_comparisons: 57114, is_sorted: true]
[time: 1327us, number_of_comparisons: 63644, is_sorted: true]
[time: 1418us, number_of_comparisons: 68775, is_sorted: true]
[time: 1552us, number_of_comparisons: 75614, is_sorted: true]
[time: 1739us, number_of_comparisons: 83178, is_sorted: true]
[time: 1806us, number_of_comparisons: 88686, is_sorted: true]
[time: 1928us, number_of_comparisons: 94731, is_sorted: true]
[time: 2087us, number_of_comparisons: 100989, is_sorted: true]
[time: 2270us, number_of_comparisons: 109849, is_sorted: true]
[time: 2477us, number_of_comparisons: 118664, is_sorted: true]
[time: 2629us, number_of_comparisons: 125195, is_sorted: true]
[time: 2843us, number_of_comparisons: 134491, is_sorted: true]
[time: 2955us, number_of_comparisons: 141830, is_sorted: true]
[time: 3141us, number_of_comparisons: 149160, is_sorted: true]
[time: 3299us, number_of_comparisons: 156888, is_sorted: true]
