[time: 74us, number_of_comparisons: 1748, is_sorted: true]
[time: 114us, number_of_comparisons: 3499, is_sorted: true]
[time: 177us, number_of_comparisons: 5051, is_sorted: true]
[time: 311us, number_of_comparisons: 7525, is_sorted: true]
[time: 357us, number_of_comparisons: 9205, is_sorted: true]
[time: 474us, number_of_comparisons: 11905, is_sorted: true]
[time: 596us, number_of_comparisons: 14319, is_sorted: true]
[time: 754us, number_of_comparisons: 18006, is_sorted: true]
[time: 876us, number_of_comparisons: 20389, is_sorted: true]
[time: 1017us, number_of_comparisons: 23819, is_sorted: true]
[time: 1198us, number_of_comparisons: 27155, is_sorted: true]
[time: 1466us, number_of_comparisons: 32932, is_sorted: true]
[time: 1635us, number_of_comparisons: 36396, is_sorted: true]
[time: 2691us, number_of_comparisons: 41589, is_sorted: true]
[time: 2096us, number_of_comparisons: 45063, is_sorted: true]
[time: 2386us, number_of_comparisons: 51003, is_sorted: true]
[time: 2640us, number_of_comparisons: 56176, is_sorted: true]
[time: 2945us, number_of_comparisons: 60648, is_sorted: true]
[time: 3304us, number_of_comparisons: 67713, is_sorted: true]
[time: 3747us, number_of_comparisons: 74092, is_sorted: true]
[time: 3989us, number_of_comparisons: 80633, is_sorted: true]
[time: 4176us, number_of_comparisons: 85020, is_sorted: true]
[time: 4481us, number_of_comparisons: 91539, is_sorted: true]
[time: 4933us, number_of_comparisons: 99465, is_sorted: true]
[time: 5230us, number_of_comparisons: 105616, is_sorted: true]
[time: 5859us, number_of_comparisons: 114352, is_sorted: true]
[time: 6158us, number_of_comparisons: 122684, is_sorted: true]
[time: 7344us, number_of_comparisons: 128114, is_sorted: true]
[time: 7614us, number_of_comparisons: 135423, is_sorted: true]
[time: 7473us, number_of_comparisons: 142693, is_sorted: true]
