[time: 57us, number_of_comparisons: 787, is_sorted: true]
[time: 76us, number_of_comparisons: 1782, is_sorted: true]
[time: 129us, number_of_comparisons: 2963, is_sorted: true]
[time: 188us, number_of_comparisons: 4264, is_sorted: true]
[time: 238us, number_of_comparisons: 5084, is_sorted: true]
[time: 313us, number_of_comparisons: 6418, is_sorted: true]
[time: 354us, number_of_comparisons: 7707, is_sorted: true]
[time: 418us, number_of_comparisons: 9006, is_sorted: true]
[time: 516us, number_of_comparisons: 11081, is_sorted: true]
[time: 521us, number_of_comparisons: 11511, is_sorted: true]
[time: 642us, number_of_comparisons: 13635, is_sorted: true]
[time: 716us, number_of_comparisons: 15500, is_sorted: true]
[time: 717us, number_of_comparisons: 15660, is_sorted: true]
[time: 797us, number_of_comparisons: 17446, is_sorted: true]
[time: 845us, number_of_comparisons: 18551, is_sorted: true]
[time: 1057us, number_of_comparisons: 21509, is_sorted: true]
[time: 993us, number_of_comparisons: 21963, is_sorted: true]
[time: 1066us, number_of_comparisons: 23134, is_sorted: true]
[time: 1124us, number_of_comparisons: 24638, is_sorted: true]
[time: 1252us, number_of_comparisons: 27429, is_sorted: true]
[time: 1261us, number_of_comparisons: 27735, is_sorted: true]
[time: 1444us, number_of_comparisons: 29604, is_sorted: true]
[time: 1407us, number_of_comparisons: 31346, is_sorted: true]
[time: 1508us, number_of_comparisons: 33072, is_sorted: true]
[time: 1630us, number_of_comparisons: 35209, is_sorted: true]
[time: 1797us, number_of_comparisons: 38323, is_sorted: true]
[time: 1775us, number_of_comparisons: 38204, is_sorted: true]
[time: 1721us, number_of_comparisons: 37826, is_sorted: true]
[time: 1870us, number_of_comparisons: 40632, is_sorted: true]
[time: 1970us, number_of_comparisons: 42800, is_sorted: true]
